name,stargazers_count,language,html_url,description
advanced-java,59125,Java,https://github.com/doocs/advanced-java,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识
scrcpy,58841,C,https://github.com/Genymobile/scrcpy,Display and control your Android device
opencv,58622,C++,https://github.com/opencv/opencv,Open Source Computer Vision Library
json-server,58479,JavaScript,https://github.com/typicode/json-server,Get a full fake REST API with zero coding in less than 30 seconds (seriously)
reveal.js,57972,JavaScript,https://github.com/hakimel/reveal.js,The HTML Presentation Framework
flask,57392,Python,https://github.com/pallets/flask,The Python micro framework for building web applications.
Front-End-Checklist,57372,,https://github.com/thedaviddias/Front-End-Checklist,🗂 The perfect Front-End Checklist for modern websites and meticulous developers
redux,57200,TypeScript,https://github.com/reduxjs/redux,Predictable state container for JavaScript apps
netdata,57043,C,https://github.com/netdata/netdata,"Real-time performance monitoring, done right! https://www.netdata.cloud"
atom,56459,JavaScript,https://github.com/atom/atom,:atom: The hackable text editor
hugo,55864,Go,https://github.com/gohugoio/hugo,The world’s fastest framework for building websites.
transformers,55696,Python,https://github.com/huggingface/transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX."
jquery,55658,JavaScript,https://github.com/jquery/jquery,jQuery JavaScript Library
Chart.js,55638,JavaScript,https://github.com/chartjs/Chart.js,Simple HTML5 Charts using the <canvas> tag
the-book-of-secret-knowledge,55493,,https://github.com/trimstray/the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
express,55305,JavaScript,https://github.com/expressjs/express,"Fast, unopinionated, minimalist web framework for node."
architect-awesome,55049,,https://github.com/xingshaocheng/architect-awesome,后端架构师技术图谱
socket.io,54908,TypeScript,https://github.com/socketio/socket.io,Realtime application framework (Node.JS server)
interviews,54864,Java,https://github.com/kdn251/interviews,Everything you need to know to get the job.
mall,54781,Java,https://github.com/macrozheng/mall,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。
gin,53923,Go,https://github.com/gin-gonic/gin,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin."
nvm,53895,Shell,https://github.com/nvm-sh/nvm,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions
markdown-here,53857,JavaScript,https://github.com/adam-p/markdown-here,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending."
svelte,54957,Typescript,https://github.com/sveltejs/svelte,Cybernetically enhanced web apps
shadowsocks-windows,53785,C#,https://github.com/shadowsocks/shadowsocks-windows,A C# port of shadowsocks
keras,53767,Python,https://github.com/keras-team/keras,Deep Learning for humans
redis,52913,C,https://github.com/redis/redis,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps."
protobuf,52768,C++,https://github.com/protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format
frp,52736,Go,https://github.com/fatedier/frp,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.
tailwindcss,52573,Javascript,https://github.com/tailwindlabs/tailwindcss,A utility-first CSS framework for rapid UI development.
Apollp-11,52388,Assembly,https://github.com/chrislgarry/Apollo-11,Original Apollo 11 Guidance Computer (AGC) source code for the command and lunar modules.
html5-boilerplate,52134,Javascript,https://github.com/h5bp/html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites."
